,title,href,Date
0,"हल्ला बोल: मणिपुर पर चर्चा को लेकर संसद में सिर्फ संग्राम, आखिर कब होगा काम?",https://www.aajtak.in/programmes/halla-bol/video/parliament-monsoon-session-adjourned-again-as-oppn-and-centre-fight-continues-over-no-confidence-motion-and-manipur-violence-1745960-2023-07-28,2023-07-28
1,"Halla Bol: विपक्ष ने मणिपुर पर सरकार को घेरा, PM मोदी ने दिया QUIT INIDA का नारा",https://www.aajtak.in/programmes/halla-bol/video/pm-modi-in-sikar-rajasthan-mocks-oppn-by-quit-india-attacks-gehlot-over-red-diary-1745268-2023-07-27,2023-07-27
2,"हल्ला बोल: विपक्ष का लोकसभा में अविश्वास प्रस्ताव, मोदी सरकार दे पाएगी जवाब?",https://www.aajtak.in/programmes/halla-bol/video/opposition-congress-no-confidence-motion-in-lok-sabha-against-modi-government-1744627-2023-07-26,2023-07-26
3,हल्ला बोल: मणिपुर की लड़ाई अविश्वास प्रस्ताव तक आई ,https://www.aajtak.in/programmes/halla-bol/video/pm-modi-slams-the-opposition-indian-mujahideen-remark-india-vs-nda-manipur-violence-1744293-2023-07-26,2023-07-26
4,विपक्षी गठबंधन के नाम पर जारी घमासान को लेकर देखें 'हल्ला बोल',https://www.aajtak.in/programmes/halla-bol/video/pm-modi-attacked-opposition-over-name-of-new-alliance-india-congress-president-kharge-responds-back-1743741-2023-07-25,2023-07-25
5,"हल्ला बोल: लाल डायरी को लेकर दावा, पूर्व मंत्री के आरोप का सच क्या?",https://www.aajtak.in/programmes/halla-bol/video/former-rajasthan-state-minister-rajendra-gudha-reached-assembly-with-a-red-diary-alleged-ashok-gehlot-1742949-2023-07-24,2023-07-24
6,"हल्ला बोल: लगातार हमलावर विपक्ष, फिर हंगामे की भेंट चढ़ेगी संसद?",https://www.aajtak.in/programmes/halla-bol/video/monsoon-session-of-parliament-uproar-over-manipur-issue-proceedings-of-lok-sabha-stopped-twice-debate-1742280-2023-07-23,2023-07-23
7,"हल्ला बोल: मणिपुर पर चर्चा के लिए सरकार तैयार, तो विपक्ष क्यों कर रहा हंगामा? ",https://www.aajtak.in/programmes/halla-bol/video/manipur-violence-viral-video-rajnath-singh-attacks-oppn-parliament-adjourned-after-ruckus-1741176-2023-07-21,2023-07-21
8,हल्ला बोल: मणिपुर से राजस्थान तक बेटियों पर अत्याचार फिर भी चुप रही सरकार,https://www.aajtak.in/programmes/halla-bol/video/manipur-naked-women-paraded-cm-n-biren-singh-resignation-teared-congress-bjp-fight-over-issue-1740395-2023-07-20,2023-07-20
9,हल्ला बोल: विपक्षी गठबंधन के नाम पर मचा सियासी संग्राम ,https://www.aajtak.in/programmes/halla-bol/video/opposition-announced-the-name-india-for-its-alliance-2024-elections-politics-news-nda-bjp-1739591-2023-07-19,2023-07-19
10,"हल्ला बोल: 24 में आमने-सामने गठबंधन, पूरी लड़ाई 2 गुटों में तब्दील!",https://www.aajtak.in/programmes/halla-bol/video/2024-lok-sabha-election-preparation-at-full-swing-modi-government-increasing-clan-opposition-grand-alliance-1738745-2023-07-18,2023-07-18
11,"बेंगलुरु में विपक्षी एकता का महामंच, क्या होगा सीट शेयरिंग फॉर्मूला?",https://www.aajtak.in/programmes/halla-bol/video/opposition-clan-against-bjp-getting-bigger-mdmk-kdmk-vck-rsp-muslim-league-and-more-to-participate-in-meet-bengaluru-1737201-2023-07-16,2023-07-16
