,date,headline,description
0,"July 29, 2023, 16:11 IST","First Six Months of 2023 Most Peaceful in J&K in Last 10 Decades, Shows Data","According to the South Asia Terrorism Portal (SATP), there have been 27 incidents of killings in J&K between January and June this year. This is the lowest number of incidents recorded for this period since 2012, when 26 such incidents were reported."
1,"July 29, 2023, 15:46 IST",Buffer Zones Between Kuki-Meitei Camps Offer Panacea for Volatile Manipur as Locals Look for Peace,"In an effort to understand the steps taken by security personnel to restore normalcy in the state, News18 visited both Meitei and Kuki villages around Yaingangpokpi (YKPI) in Manipur's Imphal East district"
2,"July 29, 2023, 00:26 IST","Pakistan Making Another Bid to Revive Separatist Movement in Kashmir, Sources Tell CNN-News18","Sources said Pakistan's Inter-Services Intelligence is desperate to start a ""soft movement"" after its failure to launch terror strikes well inside Jammu and Kashmir"
3,"July 28, 2023, 17:52 IST",Udupi Video Case: BJP Worker Arrested for Derogatory Remark Against Siddaramaiah's Family; Released Later,"Speaking about the Udupi video case, the BJP worker posted a tweet about Siddaramaiah's family questioning him whether he will call it a fun prank if her wife or daughter-in-law were filmed like the girls of the Udupi college"
4,"July 28, 2023, 17:17 IST","UCC May Not Touch Tribal Practices, Live-in Ties; Gets Thumbs Up from Muslim Women | Exclusive","With the deadline for responding to Law Commission of India's notice inviting suggestions to the Uniform Civil Code ending on Friday, News18 has also learnt that UCC drafters are deliberating strongly on linking marriage registrations with Aadhaar. Over 70 lakh responses have been received and the figure is expected to reach about 1 crore"
5,"July 28, 2023, 16:25 IST",Amit Shah's Visit to Hyderabad Postponed Due to Heavy Rains; BJP to Hold Organisational Meetings in Rajasthan,"While Amit Shah will focus largely on Madhya Pradesh and Chhattisgarh, sources mentioned that Nadda will focus primarily on Rajasthan. The matters in Telangana will be looked at jointly by both of them"
6,"July 28, 2023, 02:34 IST","There Was 'Love Jihad' in Mahabharata, Says Bhupen Borah; He'll Be Arrested If FIR Is Filed, Warns CM Himanta","Borah, the Assam Congress president, compared the Krishna-Rukmini and Dhritarashtra-Gandhari marriages in Mahabharata to 'love jihad'"
7,"July 27, 2023, 21:51 IST",Sharad Pawar vs Ajit Pawar: EC Seeks Responses from Both Factions by Aug 17 to Stake Claim for NCP,A mail was sent to both factions (Ajit Pawar and Sharad Pawar) to give out their responses with regard to the proceedings before the EC under Section 15 of the Symbols Act
8,"July 27, 2023, 18:37 IST",J&K: Muharram Procession Taken Out for First Time After 34 Years in Srinagar Amid Tight Security,The procession in the 90s had led turned into an anti-India demonstration and every year clashes would take place between the police and mourners
9,"July 27, 2023, 15:01 IST",Manipur's Biren Singh Lashes Out at Mizoram CM for Participating in Pro-Kuki Rally | Exclusive,"In an exclusive interview to News18, Manipur CM Biren Singh said he had conveyed his disappointment at Zoramthanga’s gesture to a Mizoram minister. He added that Manipur is moving towards peace and normalcy."
10,"July 27, 2023, 14:15 IST","Naked Truth: 19 Years Ago, These 12 Women Stripped for Justice. As Manipur Burns, They Return to Fight","As demonstrations broke out across Manipur in 2004 over the rape and murder of a 32-year-old, 12 women decided to march naked against security personnel in a novel protest that not only grabbed international headlines but also became one of the most stark reminders of women bearing the brunt of conflict"
11,"July 27, 2023, 12:14 IST",PM Modi Gives Peek Into New National Museum Set to Come Up Across North & South Blocks,"The Yuge Yugeen Bharat National Museum, tipped to be one of the world’s largest when completed, will be spread over 1.17 lakh square metres and have 950 rooms. It will have multiple thematic segments telling the story of India spanning over 5,000 years"
12,"July 27, 2023, 08:00 IST",Cypher Case: Pak FIA Summons Imran Khan for Questioning on August 1 | Exclusive Details,The agency has warned the former prime minister that ex-parte action will be initiated against him on the basis of evidence available on record if he fails to comply
13,"July 27, 2023, 00:14 IST","Amid Opposition Walkout, Parliament's IT Committee Adopts Report on Data Protection Bill","Congress's Karti Chidambaram, Trinamool Congress's Mahua Moitra and Jawahar Sircar, Communist Party of India's John Brittas, and Telugu Desam Party's Galla Jayadev were among those who walked out of the meeting of the Parliament's standing committee for communication and information technology"
