Headline,Description
"At Meta, Millions of Underage Users Were an ‘Open Secret,’ States Say","Meta “routinely documented” children under 13 on Instagram and collected their data, according to a newly unsealed complaint."
¿Cuáles son los riesgos del armamento que funciona con IA?,Las preocupaciones por las armas capaces de matar sin intervención humana no son totalmente nuevas.
Let Your Maps App Guide You Home for the Holidays,"Updates from Google and Apple can help you find efficient routes, locate nearby electric-vehicle charging stations or save a map for offline use."
Sam Altman Is Reinstated as OpenAI’s Chief Executive,The move capped a chaotic five days at the artificial intelligence company.
"Before Altman’s Ouster, OpenAI’s Board Was Divided and Feuding","Sam Altman confronted a member over a research paper that discussed the company, while directors disagreed for months about who should fill board vacancies."
‘Who’s That Wonderful Girl? Could She Be Any Cuter?’,"She’s Mona, the puppet heroine of “Nanalan’,” an old Canadian children’s show that has found a new audience on TikTok."
Binance Founder Pleads Guilty to Violating Money Laundering Rules,"Changpeng Zhao will pay a $50 million fine and step down as chief executive of the company he created, the latest blow to the crypto world since the implosion of FTX last year."
The Long Shadow of Steve Jobs Looms Over the Turmoil at OpenAI,"Sam Altman, the most prominent promoter of artificial intelligence, learned that it’s hard to be a visionary founder like the Apple legend."
X Sues Media Matters Over Research on Ads Next to Antisemitic Posts,"X asked a federal court to order the advocacy group to take down its findings, accusing it of “manipulating the algorithms.”"
Epic Games C.E.O. Says Google Has ‘De Facto Control’ on Android App,"Tim Sweeney, who runs the company that created Fortnite, testified in a case that, if he wins, could allow competing payment systems on the Play Store."
"At Meta, Millions of Underage Users Were an ‘Open Secret,’ States Say","Meta “routinely documented” children under 13 on Instagram and collected their data, according to a newly unsealed complaint."
¿Cuáles son los riesgos del armamento que funciona con IA?,Las preocupaciones por las armas capaces de matar sin intervención humana no son totalmente nuevas.
Let Your Maps App Guide You Home for the Holidays,"Updates from Google and Apple can help you find efficient routes, locate nearby electric-vehicle charging stations or save a map for offline use."
Sam Altman Is Reinstated as OpenAI’s Chief Executive,The move capped a chaotic five days at the artificial intelligence company.
"Before Altman’s Ouster, OpenAI’s Board Was Divided and Feuding","Sam Altman confronted a member over a research paper that discussed the company, while directors disagreed for months about who should fill board vacancies."
‘Who’s That Wonderful Girl? Could She Be Any Cuter?’,"She’s Mona, the puppet heroine of “Nanalan’,” an old Canadian children’s show that has found a new audience on TikTok."
Binance Founder Pleads Guilty to Violating Money Laundering Rules,"Changpeng Zhao will pay a $50 million fine and step down as chief executive of the company he created, the latest blow to the crypto world since the implosion of FTX last year."
The Long Shadow of Steve Jobs Looms Over the Turmoil at OpenAI,"Sam Altman, the most prominent promoter of artificial intelligence, learned that it’s hard to be a visionary founder like the Apple legend."
X Sues Media Matters Over Research on Ads Next to Antisemitic Posts,"X asked a federal court to order the advocacy group to take down its findings, accusing it of “manipulating the algorithms.”"
Epic Games C.E.O. Says Google Has ‘De Facto Control’ on Android App,"Tim Sweeney, who runs the company that created Fortnite, testified in a case that, if he wins, could allow competing payment systems on the Play Store."
How Microsoft’s Satya Nadella Kept the ‘Best Bromance in Tech’ Alive,"Mr. Nadella moved fast to hire Sam Altman, who was pushed out of OpenAI on Friday, and asserted his company’s role in its partnership with the A.I. start-up."
The Employee Letter to OpenAI’s Board,"Hundreds of OpenAi employees signed a letter on Monday saying they may leave the company for Microsoft if the ousted chief executive, Sam Altman, is not reinstalled."
Explaining the Upheaval at OpenAI,What comes next after Sam Altman’s messy ouster?
The Winners and Losers of OpenAI’s Wild Weekend,It is hard to see the past few days as anything but a big loss for the A.I. company.
‘Lost Time for No Reason’: How Driverless Taxis Are Stressing Cities,"In San Francisco and Austin, Texas, where passengers can hail self-driving vehicles, the cars have added to the workloads of city employees."
Microsoft Hires Sam Altman Hours After OpenAI Rejects His Return,"The announcement capped a tumultuous weekend for OpenAI, after Mr. Altman made a push to reclaim his job as C.E.O. of the artificial intelligence company."
Cruise’s C.E.O. Quits as the Driverless Carmaker Aims to Rebuild Trust,"Kyle Vogt, a founder of Cruise, resigned from the company on Sunday, weeks after it suspended all of its self-driving operations."
Talks to Bring Sam Altman Back to OpenAI Stretch Through Weekend,Disagreements over the board’s makeup appear to have muddled negotiations. Mr. Altman was forced out as chief executive by the company’s board on Friday.
"The White House May Condemn Musk, but the Government Is Addicted to Him",Rarely has the U.S. government so depended on the technology provided by a single technologist with views that it has so publicly declared repugnant.
The Invisible War in Ukraine Being Fought Over Radio Waves,"Using electromagnetic waves to flummox and follow smarter weapons has become a critical part of the cat-and-mouse game between Ukraine and Russia. The United States, China and others have taken note."
"At Meta, Millions of Underage Users Were an ‘Open Secret,’ States Say","Meta “routinely documented” children under 13 on Instagram and collected their data, according to a newly unsealed complaint."
¿Cuáles son los riesgos del armamento que funciona con IA?,Las preocupaciones por las armas capaces de matar sin intervención humana no son totalmente nuevas.
Let Your Maps App Guide You Home for the Holidays,"Updates from Google and Apple can help you find efficient routes, locate nearby electric-vehicle charging stations or save a map for offline use."
Sam Altman Is Reinstated as OpenAI’s Chief Executive,The move capped a chaotic five days at the artificial intelligence company.
"Before Altman’s Ouster, OpenAI’s Board Was Divided and Feuding","Sam Altman confronted a member over a research paper that discussed the company, while directors disagreed for months about who should fill board vacancies."
‘Who’s That Wonderful Girl? Could She Be Any Cuter?’,"She’s Mona, the puppet heroine of “Nanalan’,” an old Canadian children’s show that has found a new audience on TikTok."
Binance Founder Pleads Guilty to Violating Money Laundering Rules,"Changpeng Zhao will pay a $50 million fine and step down as chief executive of the company he created, the latest blow to the crypto world since the implosion of FTX last year."
The Long Shadow of Steve Jobs Looms Over the Turmoil at OpenAI,"Sam Altman, the most prominent promoter of artificial intelligence, learned that it’s hard to be a visionary founder like the Apple legend."
X Sues Media Matters Over Research on Ads Next to Antisemitic Posts,"X asked a federal court to order the advocacy group to take down its findings, accusing it of “manipulating the algorithms.”"
Epic Games C.E.O. Says Google Has ‘De Facto Control’ on Android App,"Tim Sweeney, who runs the company that created Fortnite, testified in a case that, if he wins, could allow competing payment systems on the Play Store."
How Microsoft’s Satya Nadella Kept the ‘Best Bromance in Tech’ Alive,"Mr. Nadella moved fast to hire Sam Altman, who was pushed out of OpenAI on Friday, and asserted his company’s role in its partnership with the A.I. start-up."
The Employee Letter to OpenAI’s Board,"Hundreds of OpenAi employees signed a letter on Monday saying they may leave the company for Microsoft if the ousted chief executive, Sam Altman, is not reinstalled."
Explaining the Upheaval at OpenAI,What comes next after Sam Altman’s messy ouster?
The Winners and Losers of OpenAI’s Wild Weekend,It is hard to see the past few days as anything but a big loss for the A.I. company.
‘Lost Time for No Reason’: How Driverless Taxis Are Stressing Cities,"In San Francisco and Austin, Texas, where passengers can hail self-driving vehicles, the cars have added to the workloads of city employees."
Microsoft Hires Sam Altman Hours After OpenAI Rejects His Return,"The announcement capped a tumultuous weekend for OpenAI, after Mr. Altman made a push to reclaim his job as C.E.O. of the artificial intelligence company."
Cruise’s C.E.O. Quits as the Driverless Carmaker Aims to Rebuild Trust,"Kyle Vogt, a founder of Cruise, resigned from the company on Sunday, weeks after it suspended all of its self-driving operations."
Talks to Bring Sam Altman Back to OpenAI Stretch Through Weekend,Disagreements over the board’s makeup appear to have muddled negotiations. Mr. Altman was forced out as chief executive by the company’s board on Friday.
"The White House May Condemn Musk, but the Government Is Addicted to Him",Rarely has the U.S. government so depended on the technology provided by a single technologist with views that it has so publicly declared repugnant.
The Invisible War in Ukraine Being Fought Over Radio Waves,"Using electromagnetic waves to flummox and follow smarter weapons has become a critical part of the cat-and-mouse game between Ukraine and Russia. The United States, China and others have taken note."
Sam Altman Is Said to Be Discussing Return to OpenAI With Company’s Board,"Mr. Altman was forced out of the artificial intelligence start-up on Friday, leading to an outcry from his supporters and the company’s investors."
Ousted OpenAI C.E.O. Makes Plans for New Artificial Intelligence Company,"Sam Altman, who was forced out of his company on Friday afternoon, was quickly moving to create another company with another OpenAI executive who quit on Friday."
The Fear and Tension That Led to Sam Altman’s Ouster at OpenAI,The departure of the high-profile boss of the San Francisco company drew attention to a philosophical rift among the people building new A.I. systems.
